Year,Event,Athlete,Medal,Country,Result,
1900,Épée, Individual,Ramón Fonst,GOLD,CUB,,
1900,,Louis Perrée,SILVER,FRA,,
1900,,Léon Sée,BRONZE,FRA,,
1904,Épée, Individual,Ramón Fonst,GOLD,CUB,,
1904,,Charles Tatham,SILVER,CUB,,
1904,,Albertson van Zo Post,BRONZE,CUB,,
1906,Épée, Individual,Georges de la Falaise,GOLD,FRA,,
1906,,Georges Dillon-Kavanagh,SILVER,FRA,,
1906,,Hendrik van Blijenburgh,BRONZE,NED,,
1908,Épée, Individual,Gaston Alibert,GOLD,FRA,,
1908,,Alexandre Lippmann,SILVER,FRA,,
1908,,Eugčne Olivier,BRONZE,FRA,,
1912,Épée, Individual,Paul Anspach,GOLD,BEL,,
1912,,Ivan Osiier,SILVER,DEN,,
1912,,Philippe Le Hardy de Beaulieu,BRONZE,BEL,,
1920,Épée, Individual,Armand Massard,GOLD,FRA,,
1920,,Alexandre Lippmann,SILVER,FRA,,
1920,,Gustave Buchard,BRONZE,FRA,,
1924,Épée, Individual,Charles Delporte,GOLD,BEL,,
1924,,Roger Ducret,SILVER,FRA,,
1924,,Nils Hellsten,BRONZE,SWE,,
1928,Épée, Individual,Lucien Gaudin,GOLD,FRA,,
1928,,Georges Buchard,SILVER,FRA,,
1928,,George Calnan,BRONZE,USA,,
1932,Épée, Individual,Giancarlo Cornaggia-Medici,GOLD,KIT,,
1932,,Georges Buchard,SILVER,FRA,,
1932,,Carlo Agostoni,BRONZE,KIT,,
1936,Épée, Individual,Franco Riccardi,GOLD,KIT,,
1936,,Saverio Ragno,SILVER,KIT,,
1936,,Giancarlo Cornaggia-Medici,BRONZE,KIT,,
1948,Épée, Individual,Luigi Cantone,GOLD,ITA,,
1948,,Oswald Zappelli,SILVER,SUI,,
1948,,Edoardo Mangiarotti,BRONZE,ITA,,
1952,Épée, Individual,Edoardo Mangiarotti,GOLD,ITA,,
1952,,Dario Mangiarotti,SILVER,ITA,,
1952,,Oswald Zappelli,BRONZE,SUI,,
1956,Épée, Individual,Carlo Pavesi,GOLD,ITA,,
1956,,Giuseppe Delfino,SILVER,ITA,,
1956,,Edoardo Mangiarotti,BRONZE,ITA,,
1960,Épée, Individual,Giuseppe Delfino,GOLD,ITA,,
1960,,Allan Jay,SILVER,GBR,,
1960,,Bruno Habarovs,BRONZE,URS,,
1964,Épée, Individual,Grigory Kriss,GOLD,URS,,
1964,,Henry Hoskyns,SILVER,GBR,,
1964,,Guram Kostava,BRONZE,URS,,
1968,Épée, Individual,Gyöző Kulcsár,GOLD,HUN,,
1968,,Grigory Kriss,SILVER,URS,,
1968,,Gianluigi Saccaro,BRONZE,POL,,
1972,Épée, Individual,Csaba Fenyvesi,GOLD,HUN,,
1972,,Jacques Ladegaillerie,SILVER,FRA,,
1972,,Gyöző Kulcsár,BRONZE,HUN,,
1976,Épée, Individual,Alexander Pusch,GOLD,FRG,,
1976,,Jürgen Hehn,SILVER,FRG,,
1976,,Gyöző Kulcsár,BRONZE,HUN,,
1980,Épée, Individual,Johan Harmenberg,GOLD,SWE,,
1980,,Ernő Kolczonay,SILVER,HUN,,
1980,,Philippe Riboud,BRONZE,FRA,,
1984,Épée, Individual,Philippe Boisse,GOLD,FRA,,
1984,,Björne Vĺggö,SILVER,SWE,,
1984,,Philippe Riboud,BRONZE,FRA,,
1988,Épée, Individual,Arnd Schmitt,GOLD,FRG,,
1988,,Philippe Riboud,SILVER,FRA,,
1988,,Andrey Shuvalov,BRONZE,URS,,
1992,Épée, Individual,Eric Srecki,GOLD,FRA,,
1992,,Pavel Kolobkov,SILVER,URS,,
1992,,Jean-Michel Henry,BRONZE,FRA,,
1996,Épée, Individual,Aleksandr Beketov,GOLD,RUS,,
1996,,Iván Trevejo,SILVER,CUB,,
1996,,Géza Imre,BRONZE,HUN,,
2000,Épée, Individual Men,Pavel Kolobkov,GOLD,RUS,,
2000,,Hugues Obry,SILVER,FRA,,
2000,,Sang-Ki Lee ,BRONZE,KOR,,
2004,Épée, Individual Men,Marcel Fischer,GOLD,SUI,,
2004,,Lei Wang ,SILVER,CHN,,
2004,,Pavel Kolobkov,BRONZE,RUS,,
2008,Épée, Individual Men,Matteo Tagliariol,GOLD,ITA,,
2008,,Fabrice Jeannet,SILVER,FRA,,
2008,,Jose LuisAbajo,BRONZE,ESP,,
